cmr_category,cmr_trait,bmr_category,bmr_trait,n,beta,pvalue
Ascending aorta,Ascending aorta distensibility,Volume of global and regional brain,Volume of Cortical-nucleus (right hemisphere),27267,0.035857001,3.17e-09
Ascending aorta,Ascending aorta distensibility,Volume of global and regional brain,Volume of parasubiculum (right hemisphere),27262,-0.035317091,5.45e-09
Ascending aorta,Ascending aorta distensibility,Volume of global and regional brain,Volume of Caudate (right hemisphere),27257,-0.031472327,2.02e-07
Ascending aorta,Ascending aorta distensibility,Volume of global and regional brain,Volume of Optic-Chiasm (whole brain),27266,-0.043510581,6.59e-13
Ascending aorta,Ascending aorta distensibility,Volume of global and regional brain,Volume of WM-hypointensities (whole brain),25837,-0.083386328,4.25e-41
Ascending aorta,Ascending aorta distensibility,Regional and tissue intensity,Mean intensity of CC-Mid-Posterior (whole brain),27261,0.036050133,2.62e-09
Ascending aorta,Ascending aorta distensibility,Regional and tissue intensity,Mean intensity of Thalamus-Proper (left hemisphere),27233,0.036568226,1.58e-09
Ascending aorta,Ascending aorta distensibility,Regional and tissue intensity,Mean intensity of Thalamus-Proper (right hemisphere),27249,0.036464464,1.73e-09
Ascending aorta,Ascending aorta distensibility,Regional and tissue intensity,Mean intensity of WM-hypointensities (whole brain),27191,-0.043748547,5.31e-13
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in bankssts (left hemisphere),27266,0.034221151,1.58e-08
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in caudalanteriorcingulate (left hemisphere),27266,0.031441575,2.07e-07
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in insula (left hemisphere),27267,0.050169236,1.14e-16
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in insula (right hemisphere),27267,0.045149968,8.72e-14
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in lateralorbitofrontal (left hemisphere),27266,0.042381942,2.54e-12
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in medialorbitofrontal (right hemisphere),27267,0.03234286,9.2e-08
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in parsopercularis (left hemisphere),27267,0.037326242,7.03e-10
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in parsopercularis (right hemisphere),27267,0.037557246,5.52e-10
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in parstriangularis (left hemisphere),27267,0.041075879,1.16e-11
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in rostralanteriorcingulate (left hemisphere),27266,0.042656498,1.83e-12
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in rostralanteriorcingulate (right hemisphere),27265,0.031672451,1.69e-07
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in superiortemporal (left hemisphere),27266,0.032709461,6.58e-08
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in supramarginal (left hemisphere),27266,0.032030561,1.22e-07
Ascending aorta,Ascending aorta distensibility,Grey white matter intensity contrast,Grey-white contrast in supramarginal (right hemisphere),27266,0.033278697,3.88e-08
Ascending aorta,Ascending aorta distensibility,Cortical surface area,Area of S-circular-insula-inf (left hemisphere),27266,-0.03242384,8.55e-08
