disease_group,disease_category,disease,gwas_id,protein,mr_method,snps,odds_ratio,ci_lower,ci_upper,pvalue
Cardiovascular diseases,Heart Failure,All-cause Heart Failure,finn-b-I9_HEARTFAIL_ALLCAUSE,ACP5,Inverse variance weighted,12,0.926590634,0.881490475,0.973998276,0.002745607
Cardiovascular diseases,Heart Failure,All-cause Heart Failure,finn-b-I9_HEARTFAIL_ALLCAUSE,ACP5,Inverse variance weighted (fixed effects),12,0.926590634,0.881490475,0.973998276,0.002745607
Cardiovascular diseases,Heart Failure,All-cause Heart Failure,finn-b-I9_HEARTFAIL_ALLCAUSE,ACP5,Inverse variance weighted (multiplicative random effects),12,0.926590634,0.887287829,0.967634374,0.000565122
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST005194,ACP5,Inverse variance weighted,9,0.949176542,0.915138272,0.984480855,0.005119144
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST005194,ACP5,Inverse variance weighted (fixed effects),9,0.949176542,0.922015196,0.977138026,0.000429423
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST005194,ACP5,Inverse variance weighted (multiplicative random effects),9,0.949176542,0.915138272,0.984480855,0.005119144
Cardiovascular diseases,Heart Failure,"Heart failure, not strict",finn-b-I9_HEARTFAIL_NS,ACP5,Inverse variance weighted,12,0.929887682,0.884875144,0.977189953,0.004085458
Cardiovascular diseases,Heart Failure,"Heart failure, not strict",finn-b-I9_HEARTFAIL_NS,ACP5,Inverse variance weighted (fixed effects),12,0.929887682,0.884875144,0.977189953,0.004085458
Cardiovascular diseases,Heart Failure,"Heart failure, not strict",finn-b-I9_HEARTFAIL_NS,ACP5,Inverse variance weighted (multiplicative random effects),12,0.929887682,0.890624176,0.970882134,0.000958172
Cardiovascular diseases,Heart Failure,"Heart failure,strict",finn-b-I9_HEARTFAIL,ACP5,Inverse variance weighted,12,0.936096792,0.877628707,0.998460052,0.044767254
Cardiovascular diseases,Heart Failure,"Heart failure,strict",finn-b-I9_HEARTFAIL,ACP5,Inverse variance weighted (fixed effects),12,0.936096792,0.877805628,0.998258813,0.044101321
Cardiovascular diseases,Heart Failure,"Heart failure,strict",finn-b-I9_HEARTFAIL,ACP5,Inverse variance weighted (multiplicative random effects),12,0.936096792,0.877628707,0.998460052,0.044767254
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,ACP5,Inverse variance weighted,11,0.998142055,0.99638885,0.999898345,0.038140619
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,ACP5,Inverse variance weighted (fixed effects),11,0.998142055,0.996696213,0.999589995,0.011920593
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,ACP5,Inverse variance weighted (multiplicative random effects),11,0.998142055,0.99638885,0.999898345,0.038140619
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011365,ACP5,Inverse variance weighted,10,0.95880751,0.91966679,0.999614046,0.0479114
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011365,ACP5,Inverse variance weighted (fixed effects),10,0.95880751,0.922568536,0.996469969,0.03236328
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011365,ACP5,Inverse variance weighted (multiplicative random effects),10,0.95880751,0.91966679,0.999614046,0.0479114
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011364,ACP5,Inverse variance weighted,13,0.922290172,0.876034478,0.970988223,0.002059863
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011364,ACP5,Inverse variance weighted (fixed effects),13,0.922290172,0.876668054,0.970286481,0.001775777
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011364,ACP5,Inverse variance weighted (multiplicative random effects),13,0.922290172,0.876034478,0.970988223,0.002059863
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer disease,finn-b-G6_ALZHEIMER,AHNAK,Inverse variance weighted (multiplicative random effects),2,0.635928239,0.622461361,0.649686471,0.0
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,EPHA2,Inverse variance weighted (multiplicative random effects),2,0.89152323,0.886086216,0.896993604,2.65e-296
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,TGFA,Inverse variance weighted (multiplicative random effects),2,1.753788152,1.675630129,1.835591774,7.02e-129
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,FURIN,Inverse variance weighted (multiplicative random effects),3,0.872159579,0.85656395,0.888039161,6.15e-50
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer disease,finn-b-G6_ALZHEIMER,TGFA,Inverse variance weighted (multiplicative random effects),2,1.801902653,1.629377357,1.992695649,1.92e-30
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,TREM2,Inverse variance weighted (fixed effects),4,0.782694629,0.745935185,0.821265565,1.81e-23
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,NECTIN2,Inverse variance weighted (fixed effects),4,2.387495227,1.961003476,2.906743169,4.41e-18
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,RSPO3,Inverse variance weighted (multiplicative random effects),3,0.716447456,0.661402539,0.776073461,2.95e-16
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer disease, including avohilmo",finn-b-G6_ALZHEIMER_INCLAVO,NECTIN2,Inverse variance weighted (fixed effects),4,2.430064157,1.937474619,3.047891183,1.56e-14
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,GUSB,Inverse variance weighted (multiplicative random effects),4,1.434449145,1.307219862,1.574061418,2.67e-14
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,CTSO,Inverse variance weighted (multiplicative random effects),5,0.908158283,0.88553949,0.931354815,7.08e-14
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer disease,finn-b-G6_ALZHEIMER,NECTIN2,Inverse variance weighted (fixed effects),4,2.326608182,1.842900516,2.937275011,1.24e-12
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer disease, including avohilmo",finn-b-G6_ALZHEIMER_INCLAVO,TGFA,Inverse variance weighted (multiplicative random effects),2,1.743515803,1.494862324,2.033529982,1.43e-12
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer disease, including avohilmo",finn-b-G6_ALZHEIMER_INCLAVO,IGSF8,Inverse variance weighted (multiplicative random effects),2,0.70895974,0.644246989,0.7801727,1.88e-12
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ieu-b-5067,ADH1B,Inverse variance weighted (multiplicative random effects),3,1.001685201,1.001200597,1.00217004,9.11e-12
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,PRSS8,Inverse variance weighted (fixed effects),4,0.663171735,0.586186558,0.750267545,6.85e-11
Neurological and psychiatric diseases,Dementia,Dementia,finn-b-F5_DEMENTIA,ACP5,Inverse variance weighted,12,1.115397804,1.024042868,1.214902521,0.012247284
Neurological and psychiatric diseases,Dementia,Dementia,finn-b-F5_DEMENTIA,ACP5,Inverse variance weighted (fixed effects),12,1.115397804,1.024042868,1.214902521,0.012247284
Neurological and psychiatric diseases,Dementia,Dementia,finn-b-F5_DEMENTIA,ACP5,Inverse variance weighted (multiplicative random effects),12,1.115397804,1.040788481,1.195355526,0.001989407
Neurological and psychiatric diseases,Dementia,"Dementia, including avohilmo",finn-b-F5_DEMENTIA_INCLAVO,ACP5,Inverse variance weighted,12,1.112473319,1.021963512,1.210999092,0.013824257
Neurological and psychiatric diseases,Dementia,"Dementia, including avohilmo",finn-b-F5_DEMENTIA_INCLAVO,ACP5,Inverse variance weighted (fixed effects),12,1.112473319,1.021963512,1.210999092,0.013824257
Neurological and psychiatric diseases,Dementia,"Dementia, including avohilmo",finn-b-F5_DEMENTIA_INCLAVO,ACP5,Inverse variance weighted (multiplicative random effects),12,1.112473319,1.031348895,1.199978873,0.005797488
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST006908,ACP5,Inverse variance weighted,10,0.942166044,0.890569926,0.996751438,0.038150148
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST006908,ACP5,Inverse variance weighted (fixed effects),10,0.942166044,0.893182724,0.993835674,0.028742712
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST006908,ACP5,Inverse variance weighted (multiplicative random effects),10,0.942166044,0.890569926,0.996751438,0.038150148
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,AREG,Inverse variance weighted (multiplicative random effects),3,1.31732361,1.196245202,1.450657015,2.11e-08
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,EFNA1,Inverse variance weighted (fixed effects),6,1.304329926,1.177924673,1.444299958,3.24e-07
Neurological and psychiatric diseases,Dementia,Vascular dementia (mixed),finn-b-VD_MX,ACP5,Inverse variance weighted,12,3.05729632,1.615512172,5.785818858,0.000595142
Neurological and psychiatric diseases,Dementia,Vascular dementia (mixed),finn-b-VD_MX,ACP5,Inverse variance weighted (fixed effects),12,3.05729632,1.615512172,5.785818858,0.000595142
Neurological and psychiatric diseases,Dementia,Vascular dementia (mixed),finn-b-VD_MX,ACP5,Inverse variance weighted (multiplicative random effects),12,3.05729632,1.653863521,5.651651828,0.000363936
Cardiovascular diseases,Hypertension,Hypertension,finn-b-I9_HYPTENS,ACVRL1,Inverse variance weighted,11,0.928056215,0.878738225,0.98014211,0.007363297
Cardiovascular diseases,Hypertension,Hypertension,finn-b-I9_HYPTENS,ACVRL1,Inverse variance weighted (fixed effects),11,0.928056215,0.88810876,0.969800521,0.000880893
Cardiovascular diseases,Hypertension,Hypertension,finn-b-I9_HYPTENS,ACVRL1,Inverse variance weighted (multiplicative random effects),11,0.928056215,0.878738225,0.98014211,0.007363297
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,ACVRL1,Inverse variance weighted,11,0.917126545,0.861635242,0.976191615,0.006593421
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,ACVRL1,Inverse variance weighted (fixed effects),11,0.917126545,0.874697085,0.961614156,0.000344082
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,ACVRL1,Inverse variance weighted (multiplicative random effects),11,0.917126545,0.861635242,0.976191615,0.006593421
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia in Alzheimer disease,finn-b-F5_ALZHDEMENT,NECTIN2,Inverse variance weighted (fixed effects),4,2.755776503,2.03193838,3.737467733,7.01e-11
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,CRIP2,Inverse variance weighted (multiplicative random effects),3,0.681801929,0.606353778,0.766638036,1.54e-10
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer disease, including avohilmo",finn-b-G6_ALZHEIMER_INCLAVO,SHBG,Inverse variance weighted (multiplicative random effects),7,1.208242916,1.136990238,1.283960844,1.06e-09
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ieu-b-5067,UPB1,Inverse variance weighted (multiplicative random effects),2,1.003721313,1.002494878,1.004949249,2.61e-09
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,GGH,Inverse variance weighted (multiplicative random effects),16,1.165385615,1.086470023,1.25003323,1.88e-05
