model,disease_category,disease,incident_rate,protein,hazard_ratio,ci_lower,ci_upper,pvalue
primary,Circulatory system disorders,I12 (hypertensive renal disease),0.535644721464744,CDH3;Cadherin-3,3.71277552434008,3.29390872421749,4.18490712653658,2.49081641314836e-102
primary,Circulatory system disorders,I13 (hypertensive heart and renal disease),0.066025827750267,CDH3;Cadherin-3,2.85751250386775,2.04449196337894,3.99384192064301,7.9202946033775e-10
primary,Circulatory system disorders,I15 (secondary hypertension),0.0543953375424963,CDH3;Cadherin-3,3.8193549347281,2.63410081538368,5.5379323495282,1.55758859623325e-12
primary,Circulatory system disorders,I27 (other pulmonary heart diseases),1.34671603975833,CDH3;Cadherin-3,1.25797431494694,1.16721277922343,1.35579339537313,1.89166937978642e-09
primary,Circulatory system disorders,I46 (cardiac arrest),0.777423618129518,CDH3;Cadherin-3,1.25228064716411,1.13507721459879,1.38158602700529,7.22064013733306e-06
primary,Circulatory system disorders,I70 (atherosclerosis),0.795642447232759,CDH3;Cadherin-3,1.24852054332597,1.13273107212923,1.37614618814759,7.83044522003499e-06
primary,Circulatory system disorders,I74 (arterial embolism and thrombosis),0.402598412945386,CDH3;Cadherin-3,1.41323252984775,1.23303780241501,1.61976070766697,6.69281758642455e-07
primary,Circulatory system disorders,"I79 (disorders of arteries, arterioles and capillaries in diseases classified elsewhere)",0.0485540600905047,CDH3;Cadherin-3,2.44261454102406,1.65134039712242,3.61304417091654,7.77910290129335e-06
primary,Circulatory system disorders,I12 (hypertensive renal disease),0.551252935810089,COL1A1;Collagen alpha-1(I) chain,1.55697413080904,1.3832718490851,1.75248881527655,2.20520651065366e-13
primary,Circulatory system disorders,I98 (other disorders of circulatory system in diseases classified elsewhere),0.104513431911434,COL1A1;Collagen alpha-1(I) chain,2.05993912689931,1.57500288503897,2.69418503727102,1.3139333956555e-07
primary,Circulatory system disorders,I12 (hypertensive renal disease),0.550184704865204,CHRDL2;Chordin-like protein 2,1.73751973789919,1.53690670364975,1.9643188701175,1.08766675586526e-18
primary,Circulatory system disorders,I85 (oesophageal varices),0.221460068593826,CHRDL2;Chordin-like protein 2,2.8245521258199,2.31169834560469,3.45118329415374,3.08465986897018e-24
primary,Circulatory system disorders,I98 (other disorders of circulatory system in diseases classified elsewhere),0.105795227459739,CHRDL2;Chordin-like protein 2,4.35300124718436,3.21173789431722,5.89980268673725,2.50957363174833e-21
primary,Circulatory system disorders,I12 (hypertensive renal disease),0.397664007998727,CSF1R;Macrophage colony-stimulating factor 1 receptor,1.40527256603734,1.21133087180227,1.63026554579508,7.11695397463159e-06
primary,Circulatory system disorders,I85 (oesophageal varices),0.211023121780762,CSF1R;Macrophage colony-stimulating factor 1 receptor,3.09715856429388,2.55381747284759,3.75609896727785,1.54120808525843e-30
