model,mri_category,mri_trait,protein,n,beta,pvalue
Primary analysis,Right ventricle,RV end diastolic volume,LEP;Leptin,4867,-0.267515997576868,1.5333013939189e-80
Primary analysis,Left ventricle,LV end diastolic volume,LEP;Leptin,4865,-0.253556220368186,3.03562075463009e-72
Primary analysis,Right ventricle,RV end diastolic volume,"FABP4;Fatty acid-binding protein, adipocyte",4917,-0.249962916896561,6.27311913591428e-71
Primary analysis,Left ventricle,LV end diastolic volume,"FABP4;Fatty acid-binding protein, adipocyte",4915,-0.234057131571381,3.79220971637306e-62
Primary analysis,Left ventricle,LV myocardial mass,LEP;Leptin,4866,-0.228005244773883,2.05069668201508e-58
Primary analysis,Right ventricle,RV end systolic volume,LEP;Leptin,4866,-0.214365809015648,1.09507802759352e-51
Primary analysis,Right ventricle,RV stroke volume,"FABP4;Fatty acid-binding protein, adipocyte",4917,-0.211331717132533,9.25317910449916e-51
Primary analysis,Left ventricle,LV myocardial mass,"FABP4;Fatty acid-binding protein, adipocyte",4916,-0.210643194034194,2.00506311875959e-50
Primary analysis,Left ventricle,LV stroke volume,LEP;Leptin,4867,-0.207554601618047,1.66133879183303e-48
Primary analysis,Right ventricle,RV stroke volume,LEP;Leptin,4867,-0.203202408797621,1.58968176904016e-46
Primary analysis,Left ventricle,LV cardiac output,LEP;Leptin,4865,-0.196036073137131,2.4090142784074e-43
Primary analysis,Left ventricle,LV stroke volume,"FABP4;Fatty acid-binding protein, adipocyte",4917,-0.192021594598917,4.71689405113058e-42
Primary analysis,Left ventricle,LV cardiac output,"FABP4;Fatty acid-binding protein, adipocyte",4915,-0.185422624952502,2.88722880286828e-39
Primary analysis,Right atrium,RA maximum volume,LEP;Leptin,4786,-0.187835377087817,2.96054829557141e-39
Primary analysis,Left ventricle,LV end systolic volume,LEP;Leptin,4856,-0.185223496373754,9.8250203877982e-39
Primary analysis,Right ventricle,RV end diastolic volume,IL1RN;Interleukin-1 receptor antagonist protein,4832,-0.185593185486529,1.060665674582e-38
Primary analysis,Left ventricle,LV myocardial mass,REN;Renin,4866,-0.183593169302084,3.77854455096565e-38
Primary analysis,Right ventricle,RV end systolic volume,"FABP4;Fatty acid-binding protein, adipocyte",4916,-0.178507096977478,1.76480781242044e-36
Primary analysis,Right ventricle,RV end diastolic volume,CLMP;CXADR-like membrane protein,4890,-0.175082611471118,5.83006927868197e-35
Primary analysis,Left ventricle,LV end diastolic volume,IL1RN;Interleukin-1 receptor antagonist protein,4830,-0.175744752882724,8.33813361203602e-35
Primary analysis,Left ventricle,LV end systolic volume,"FABP4;Fatty acid-binding protein, adipocyte",4906,-0.170034695124803,3.81469238090771e-33
Primary analysis,Right atrium,RA minimum volume,LEP;Leptin,4777,-0.172018916378981,4.77607457553132e-33
Primary analysis,Right ventricle,RV end diastolic volume,RTN4R;Reticulon-4 receptor,4890,-0.169893792493408,5.45501673856258e-33
Primary analysis,Ascending aorta,Ascending aorta maximum area,LEP;Leptin,4588,-0.17299216432306,3.74468395147949e-32
Primary analysis,Descending aorta,Descending aorta maximum area,LEP;Leptin,4586,-0.171796362436964,1.02955104270692e-31
Primary analysis,Descending aorta,Descending aorta minimum area,LEP;Leptin,4587,-0.171772711041569,1.03392981565382e-31
Primary analysis,Ascending aorta,Ascending aorta minimum area,LEP;Leptin,4588,-0.170639081419576,2.56448508449776e-31
Primary analysis,Right ventricle,RV end diastolic volume,ADM;Pro-adrenomedullin,4890,-0.163777083902304,9.56875118858246e-31
Primary analysis,Right ventricle,RV end diastolic volume,COLEC12;Collectin-12,4836,-0.162965164596897,3.89300559997084e-30
Primary analysis,Right ventricle,RV end diastolic volume,PTGDS;Prostaglandin-H2 D-isomerase,4822,-0.162982781208511,4.63995421630132e-30
Primary analysis,Left ventricle,LV myocardial mass,CLMP;CXADR-like membrane protein,4889,-0.161550878050516,6.05505333791501e-30
Primary analysis,Right atrium,RA maximum volume,IL1RN;Interleukin-1 receptor antagonist protein,4749,-0.163011713515764,1.22035063913414e-29
Primary analysis,Right ventricle,RV stroke volume,IL1RN;Interleukin-1 receptor antagonist protein,4832,-0.161282238997134,1.60714935942595e-29
Primary analysis,Right ventricle,RV end diastolic volume,IGFBP6;Insulin-like growth factor-binding protein 6,4838,-0.159802459351019,4.87016286572706e-29
Primary analysis,Descending aorta,Descending aorta minimum area,REN;Renin,4587,-0.162980023039212,1.12714105771649e-28
Primary analysis,Right ventricle,RV end diastolic volume,AGRN;Agrin,4861,-0.158326964468613,1.17334148849532e-28
Primary analysis,Left atrium,LA maximum volume,NTproBNP;N-terminal prohormone of brain natriuretic peptide,4793,0.159301970930499,1.30063042982899e-28
Primary analysis,Right ventricle,RV end diastolic volume,TAFA5;Chemokine-like protein TAFA-5,4832,-0.158415617256454,1.58534852828542e-28
Primary analysis,Left ventricle,LV end diastolic volume,CLMP;CXADR-like membrane protein,4888,-0.157195077528569,2.04667353731768e-28
Primary analysis,Right atrium,RA maximum volume,RTN4R;Reticulon-4 receptor,4804,-0.158524390068574,2.08320136974913e-28
Primary analysis,Left ventricle,LV mean myocardial wall thickness global,REN;Renin,4864,-0.157359426541004,2.43268925408986e-28
Primary analysis,Right atrium,RA maximum volume,"FABP4;Fatty acid-binding protein, adipocyte",4832,-0.156402546969617,7.71205144310572e-28
Primary analysis,Right ventricle,RV end diastolic volume,BTN2A1;Butyrophilin subfamily 2 member A1,4861,-0.0989424820148722,4.72669218919626e-12
Primary analysis,Left ventricle,LV stroke volume,IL1RN;Interleukin-1 receptor antagonist protein,4832,-0.155671271032454,1.36300925863522e-27
Primary analysis,Right ventricle,RV end diastolic volume,NPPC;C-type natriuretic peptide,4852,-0.152844241553487,9.45899788419494e-27
Primary analysis,Left ventricle,LV end diastolic volume,NPPC;C-type natriuretic peptide,4850,-0.151483287640354,2.73128726505566e-26
Primary analysis,Right ventricle,RV end diastolic volume,TNFRSF1A;Tumor necrosis factor receptor superfamily member 1A,4843,-0.150410217614417,6.66007508581051e-26
Primary analysis,Left ventricle,LV end diastolic volume,IGFBP6;Insulin-like growth factor-binding protein 6,4836,-0.150182205919937,8.56692891022848e-26
Primary analysis,Right ventricle,RV end diastolic volume,CST3;Cystatin-C,4859,-0.149615996503899,1.00608247928439e-25
Primary analysis,Ascending aorta,Ascending aorta minimum area,REN;Renin,4588,-0.150913568511276,8.83371270462248e-25
Primary analysis,Right ventricle,RV end diastolic volume,PLAT;Tissue-type plasminogen activator,4904,-0.147002504024547,4.27264915838423e-25
Primary analysis,Descending aorta,Descending aorta maximum area,REN;Renin,4586,-0.149489925706165,2.48776420286216e-24
Primary analysis,Right ventricle,RV end diastolic volume,SCARB2;Lysosome membrane protein 2,4724,-0.149095311123974,6.86943461871085e-25
Primary analysis,Left ventricle,LV cardiac output,IL1RN;Interleukin-1 receptor antagonist protein,4830,-0.147302602304326,7.75317771499978e-25
Primary analysis,Left ventricle,LV mean myocardial wall thickness AHA 10,REN;Renin,4864,-0.149045301516262,1.45719844586753e-25
Primary analysis,Left ventricle,LV end diastolic volume,PLAT;Tissue-type plasminogen activator,4902,-0.146009774976011,9.10866964685637e-25
Primary analysis,Left ventricle,LV end diastolic volume,TAFA5;Chemokine-like protein TAFA-5,4830,-0.146737641217715,1.17253296938167e-24
Primary analysis,Left ventricle,LV end diastolic volume,ADM;Pro-adrenomedullin,4888,-0.145540744813654,1.49686675890161e-24
Primary analysis,Left ventricle,LV mean myocardial wall thickness AHA 9,REN;Renin,4864,-0.147389488015747,4.99044026659147e-25
Primary analysis,Right ventricle,RV end diastolic volume,TNFRSF4;Tumor necrosis factor receptor superfamily member 4,4897,-0.144868941405876,2.22210682408772e-24
Primary analysis,Left ventricle,LV mean myocardial wall thickness AHA 8,REN;Renin,4864,-0.145603995329638,1.85251594497179e-24
Primary analysis,Right atrium,RA maximum volume,PRSS8;Prostasin,4744,-0.145481751817231,7.40041685650596e-24
Primary analysis,Left ventricle,LV end diastolic volume,PTGDS;Prostaglandin-H2 D-isomerase,4820,-0.144158704200312,8.43779480927193e-24
Primary analysis,Right ventricle,RV stroke volume,RTN4R;Reticulon-4 receptor,4890,-0.143063791393297,8.87183614086474e-24
Primary analysis,Left ventricle,LV end diastolic volume,IGSF9;Protein turtle homolog A,3454,-0.16950413374879,1.114457614784e-23
Primary analysis,Right ventricle,RV end diastolic volume,FSTL3;Follistatin-related protein 3,4829,-0.142875968681105,1.91706919072498e-23
Primary analysis,Left ventricle,LV mean myocardial wall thickness AHA 7,REN;Renin,4864,-0.141615984803906,3.2687496482742e-23
Primary analysis,Right atrium,RA stroke volume,LEP;Leptin,4795,-0.142589257063297,3.3437019733152e-23
Primary analysis,Right ventricle,RV end diastolic volume,ASGR1;Asialoglycoprotein receptor 1,4829,-0.141460253399424,5.21808907497965e-23
Primary analysis,Left ventricle,LV end diastolic volume,CD38;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,4830,-0.140562344300064,9.69746776126384e-23
Primary analysis,Descending aorta,Descending aorta maximum area,"FABP4;Fatty acid-binding protein, adipocyte",4630,-0.143449268413462,1.02973675631389e-22
Primary analysis,Left ventricle,LV end diastolic volume,COLEC12;Collectin-12,4834,-0.14029480165112,1.12302181389856e-22
Primary analysis,Left ventricle,LV end diastolic volume,ADAMTS15;A disintegrin and metalloproteinase with thrombospondin motifs 15,4830,-0.140315706041841,1.15211107048608e-22
Primary analysis,Left atrium,LA minimum volume,NTproBNP;N-terminal prohormone of brain natriuretic peptide,4759,0.141258189785119,1.22659640242923e-22
Primary analysis,Right atrium,RA maximum volume,BTN2A1;Butyrophilin subfamily 2 member A1,4777,-0.0935932503348704,9.0927250060297e-11
Primary analysis,Right atrium,RA stroke volume,IL1RN;Interleukin-1 receptor antagonist protein,4758,-0.141104116893562,1.37857566952993e-22
Primary analysis,Right ventricle,RV end diastolic volume,HNMT;Histamine N-methyltransferase,4815,-0.139548576255686,2.28097951330736e-22
Primary analysis,Right ventricle,RV end diastolic volume,CD38;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,4832,-0.139229129059903,2.40437708466929e-22
Primary analysis,Right ventricle,RV stroke volume,AGRN;Agrin,4861,-0.138485391198286,3.02659196042686e-22
Primary analysis,Left ventricle,LV end diastolic volume,SORCS2;VPS10 domain-containing receptor SorCS2,4754,-0.139697347820665,3.77707645080744e-22
Primary analysis,Right ventricle,RV end diastolic volume,CPM;Carboxypeptidase M,4887,-0.137380991063115,5.05060770608206e-22
Primary analysis,Left ventricle,LV end diastolic volume,CPM;Carboxypeptidase M,4885,-0.137174237266268,5.9387139707813e-22
Primary analysis,Right ventricle,RV stroke volume,CLMP;CXADR-like membrane protein,4890,-0.136865712949798,7.00269592309001e-22
Primary analysis,Right ventricle,RV end diastolic volume,TGFBR2;TGF-beta receptor type-2,4872,-0.136483203986285,1.08100637000225e-21
Primary analysis,Right atrium,RA stroke volume,"FABP4;Fatty acid-binding protein, adipocyte",4841,-0.136750733216725,1.2096481268043e-21
Primary analysis,Left ventricle,LV end diastolic volume,CST3;Cystatin-C,4857,-0.136305521728556,1.40718886000225e-21
Primary analysis,Left ventricle,LV end diastolic volume,AGRN;Agrin,4859,-0.135931827227754,1.78077721851212e-21
Primary analysis,Right ventricle,RV end diastolic volume,RBP5;Retinol-binding protein 5,4832,-0.136140242556666,1.9947850961353e-21
Primary analysis,Right ventricle,RV stroke volume,IGFBP6;Insulin-like growth factor-binding protein 6,4838,-0.135918859097663,2.18972852104606e-21
Primary analysis,Left ventricle,LV end diastolic volume,PTPRN2;Receptor-type tyrosine-protein phosphatase N2,4813,-0.136169499170835,2.34071386529819e-21
Primary analysis,Right ventricle,RV end systolic volume,CLMP;CXADR-like membrane protein,4889,-0.134923872095605,2.6674701376095e-21
Primary analysis,Left ventricle,LV end diastolic volume,LDLR;Low-density lipoprotein receptor,4864,-0.135074677436031,3.03854573742745e-21
Primary analysis,Right ventricle,RV end diastolic volume,TNFRSF10B;Tumor necrosis factor receptor superfamily member 10B,4829,-0.135504202192251,3.15289112741248e-21
Primary analysis,Right ventricle,RV end diastolic volume,"KRT18;Keratin, type I cytoskeletal 18",4832,-0.135128795022468,3.9466497108221e-21
Primary analysis,Left ventricle,LV end diastolic volume,SEZ6L;Seizure 6-like protein,4870,-0.133640758893739,7.54645451830222e-21
Primary analysis,Ascending aorta,Ascending aorta maximum area,REN;Renin,4588,-0.137502012308848,8.31276710972109e-21
Primary analysis,Right ventricle,RV end diastolic volume,PTPRN2;Receptor-type tyrosine-protein phosphatase N2,4815,-0.134154456992195,8.85845903267422e-21
Primary analysis,Right ventricle,RV end systolic volume,TNFRSF4;Tumor necrosis factor receptor superfamily member 4,4896,-0.13272087310329,1.10380431848913e-20
Primary analysis,Right ventricle,RV end diastolic volume,HSPG2;Basement membrane-specific heparan sulfate proteoglycan core protein,4825,-0.133514508429271,1.23646025452239e-20
Primary analysis,Left ventricle,LV end diastolic volume,RTN4R;Reticulon-4 receptor,4888,-0.131863377886596,2.09830309923274e-20
Primary analysis,Left ventricle,LV end diastolic volume,AHNAK;Neuroblast differentiation-associated protein AHNAK,3351,-0.158885127520457,2.1844965625473e-20
Primary analysis,Right ventricle,RV end diastolic volume,GFRA1;GDNF family receptor alpha-1,4886,-0.131510959348005,2.69702157815646e-20
Primary analysis,Right ventricle,RV end diastolic volume,CD83;CD83 antigen,4852,-0.131764328386633,3.08224265973799e-20
Primary analysis,Right ventricle,RV end diastolic volume,CD59;CD59 glycoprotein,4682,-0.133880592467731,3.58632958118834e-20
Primary analysis,Right ventricle,RV end diastolic volume,ADAMTS15;A disintegrin and metalloproteinase with thrombospondin motifs 15,4832,-0.131798452471741,3.59830832363466e-20
Primary analysis,Left ventricle,LV end diastolic volume,IGFBP2;Insulin-like growth factor-binding protein 2,4908,0.130629654459678,3.97977332303742e-20
Primary analysis,Right atrium,RA minimum volume,IL1RN;Interleukin-1 receptor antagonist protein,4740,-0.132592625900808,4.87344455742793e-20
Primary analysis,Right ventricle,RV end diastolic volume,IGSF9;Protein turtle homolog A,3456,-0.155018577915429,4.93854357226422e-20
Primary analysis,Right ventricle,RV end systolic volume,COLEC12;Collectin-12,4835,-0.131236173951531,5.06189842398503e-20
Primary analysis,Right ventricle,RV stroke volume,NPPC;C-type natriuretic peptide,4852,-0.130667301835929,6.32306415022242e-20
Primary analysis,Right ventricle,RV end diastolic volume,CFH;Complement factor H,3247,-0.159411475283959,6.32337935917831e-20
Primary analysis,Descending aorta,Descending aorta minimum area,"FABP4;Fatty acid-binding protein, adipocyte",4631,-0.133687689390482,6.4671920683538e-20
Primary analysis,Left atrium,LA maximum volume,NPPB;Natriuretic peptides B,4689,0.132861494616095,6.48277570118758e-20
Primary analysis,Right ventricle,RV end diastolic volume,SORCS2;VPS10 domain-containing receptor SorCS2,4756,-0.131797931682916,7.05999352587661e-20
Primary analysis,Right ventricle,RV end diastolic volume,NPDC1;Neural proliferation differentiation and control protein 1,4867,-0.130247187946547,7.30042912140803e-20
Primary analysis,Right ventricle,RV end systolic volume,ADM;Pro-adrenomedullin,4889,-0.129891680979334,7.61451934687022e-20
Primary analysis,Descending aorta,Descending aorta maximum area,CLMP;CXADR-like membrane protein,4604,-0.133736453857856,8.0217044892017e-20
Primary analysis,Right ventricle,RV end diastolic volume,PALM;Paralemmin-1,3397,-0.155285503611476,8.82250246138754e-20
Primary analysis,Right ventricle,RV end diastolic volume,TNFRSF11A;Tumor necrosis factor receptor superfamily member 11A,4905,-0.129449758602151,8.85897875373206e-20
Primary analysis,Left ventricle,LV stroke volume,IGFBP6;Insulin-like growth factor-binding protein 6,4838,-0.130137517723706,1.00745348951931e-19
