model,disease_category,disease,incident_rate,protein,beta,odds_ratio,ci_lower,ci_upper,pvalue
primary,Circulatory system disorders,I12 (hypertensive renal disease),0.301000097096805,CDH3;Cadherin-3,1.75652825497849,5.79229308200717,4.88206128215052,6.87223228240373,3.45959009497994e-90
primary,Circulatory system disorders,I15 (secondary hypertension),0.0388387222060394,CDH3;Cadherin-3,2.14761482872305,8.56440643991882,5.32533255148,13.773610748072,8.07576286562148e-19
primary,Circulatory system disorders,I50 (heart failure),0.908826099621322,CDH3;Cadherin-3,0.349788468091022,1.41876740227211,1.29479477049052,1.5546100336715,6.48871000348662e-14
primary,Circulatory system disorders,"I64 (stroke, not specified as haemorrhage or infarction)",1.55549082435187,CDH3;Cadherin-3,0.313998940988379,1.368888286878,1.27632685190236,1.46816243751263,1.4926456824234e-18
primary,Circulatory system disorders,I67 (other cerebrovascular diseases),0.34566462763375,CDH3;Cadherin-3,0.397327066354613,1.48784247369505,1.2845998200926,1.7232411151758,1.14583869458342e-07
primary,Circulatory system disorders,I70 (atherosclerosis),0.174774249927177,CDH3;Cadherin-3,0.504809945067073,1.65667063211289,1.34771028401355,2.0364596277561,1.63828704829277e-06
primary,Circulatory system disorders,I73 (other peripheral vascular diseases),1.40984561607923,CDH3;Cadherin-3,0.205853260785064,1.22857291094316,1.14165370003996,1.3221096707789,3.82735363934313e-08
primary,Circulatory system disorders,I85 (oesophageal varices),0.0504903388678512,CDH3;Cadherin-3,0.967724382554184,2.63194833195495,1.80381145915885,3.84028607142273,5.16457896654295e-07
primary,Circulatory system disorders,I98 (other disorders of circulatory system in diseases classified elsewhere),0.0194193611030197,CDH3;Cadherin-3,1.40197975073859,4.06323620422283,2.2245234362286,7.42176422258675,5.08645296084558e-06
primary,Circulatory system disorders,I12 (hypertensive renal disease),0.305745302552392,COL1A1;Collagen alpha-1(I) chain,0.498488670973827,1.64623139237427,1.40456139083283,1.92948333545719,7.55866689928589e-10
primary,Circulatory system disorders,I15 (secondary hypertension),0.0387019370319484,COL1A1;Collagen alpha-1(I) chain,1.21157641503715,3.35877530521874,2.1919061123393,5.14683155790248,2.64000924286372e-08
primary,Circulatory system disorders,I12 (hypertensive renal disease),0.311453252629723,CHRDL2;Chordin-like protein 2,0.512062002473694,1.66872857223158,1.41406949703407,1.9692490741245,1.35377668625123e-09
primary,Circulatory system disorders,I48 (atrial fibrillation and flutter),2.17429629194335,CHRDL2;Chordin-like protein 2,0.2569098452126,1.29292855780555,1.21399571480606,1.37699353894029,1.31126464610122e-15
primary,Circulatory system disorders,I50 (heart failure),0.910853852030322,CHRDL2;Chordin-like protein 2,0.258209665392369,1.29461022513178,1.17378546791967,1.42787219711129,2.39951712148615e-07
primary,Circulatory system disorders,I85 (oesophageal varices),0.0521612917857304,CSF1R;Macrophage colony-stimulating factor 1 receptor,1.47292658208992,4.36198217825875,2.95356323795424,6.44201156045866,1.32250103190427e-13
primary,Circulatory system disorders,I12 (hypertensive renal disease),0.311795944641132,CST6;Cystatin-M,1.4581327881283,4.29792689124629,3.64478212854622,5.06811516052565,2.44133520000059e-67
primary,Circulatory system disorders,I15 (secondary hypertension),0.0402317347924042,CST6;Cystatin-M,1.91516488947993,6.78805798407648,4.2929958612256,10.7332344788307,2.55790117418769e-16
primary,Circulatory system disorders,I50 (heart failure),0.911248793047956,CST6;Cystatin-M,0.357817543333766,1.43020464630058,1.30032166828721,1.57306102035052,1.75505070581352e-13
primary,Circulatory system disorders,"I64 (stroke, not specified as haemorrhage or infarction)",1.57104924364338,CST6;Cystatin-M,0.205978963672367,1.2287273558122,1.14226104395755,1.32173895179897,3.15483032614619e-08
